event,team_h,team_a,team_h_difficulty,team_a_difficulty
19,Southampton,Huddersfield,2,4
19,Man City,Bournemouth,2,5
19,Leicester,Man Utd,2,2
19,Burnley,Spurs,2,3
19,Brighton,Watford,2,2
19,Arsenal,Liverpool,4,5
19,Everton,Chelsea,4,3
20,Newcastle,Man City,5,2
20,Watford,Leicester,3,3
20,Spurs,Southampton,2,4
20,Man Utd,Burnley,2,4
20,West Brom,Everton,2,2
20,Huddersfield,Stoke,2,2
20,Crystal Palace,Arsenal,4,4
20,Chelsea,Brighton,2,4
20,Bournemouth,West Ham,2,2
20,Liverpool,Swansea,2,4
21,West Brom,Arsenal,4,2
21,Watford,Swansea,2,3
21,Spurs,West Ham,2,4
21,Newcastle,Brighton,2,2
21,Man Utd,Southampton,2,4
21,Liverpool,Leicester,3,4
21,Huddersfield,Burnley,2,2
21,Crystal Palace,Man City,5,4
21,Chelsea,Stoke,2,4
21,Bournemouth,Everton,2,2
22,West Ham,West Brom,2,2
22,Swansea,Spurs,2,2
22,Stoke,Newcastle,2,2
22,Southampton,Crystal Palace,2,3
22,Man City,Watford,2,5
22,Leicester,Huddersfield,2,2
22,Everton,Man Utd,3,3
22,Burnley,Liverpool,4,2
22,Brighton,Bournemouth,2,3
22,Arsenal,Chelsea,4,4
23,West Brom,Brighton,2,2
23,Watford,Southampton,2,3
23,Spurs,Everton,2,4
23,Newcastle,Swansea,2,2
23,Man Utd,Stoke,2,4
23,Liverpool,Man City,5,4
23,Huddersfield,West Ham,2,2
23,Crystal Palace,Burnley,2,3
23,Chelsea,Leicester,3,4
23,Bournemouth,Arsenal,4,2
24,Swansea,Liverpool,4,2
24,Stoke,Huddersfield,2,2
24,Southampton,Spurs,3,3
24,Man City,Newcastle,2,5
24,West Ham,Bournemouth,2,2
24,Everton,West Brom,2,3
24,Burnley,Man Utd,3,2
24,Brighton,Chelsea,4,3
24,Arsenal,Crystal Palace,2,4
24,Leicester,Watford,2,2
25,West Ham,Crystal Palace,2,2
25,Spurs,Man Utd,4,5
25,Swansea,Arsenal,4,2
25,Stoke,Watford,2,2
25,Southampton,Brighton,2,2
25,Newcastle,Burnley,2,2
25,Man City,West Brom,2,5
25,Huddersfield,Liverpool,4,2
25,Everton,Leicester,2,3
25,Chelsea,Bournemouth,2,4
26,Watford,Chelsea,4,2
26,Man Utd,Huddersfield,2,4
26,Liverpool,Spurs,4,4
26,Leicester,Swansea,2,3
26,West Brom,Southampton,2,2
26,Burnley,Man City,4,2
26,Brighton,West Ham,2,2
26,Bournemouth,Stoke,2,3
26,Arsenal,Everton,2,4
26,Crystal Palace,Newcastle,2,3
27,Spurs,Arsenal,4,5
27,Swansea,Burnley,2,2
27,Stoke,Brighton,2,3
27,Southampton,Liverpool,4,2
27,West Ham,Watford,2,2
27,Man City,Leicester,2,5
27,Huddersfield,Bournemouth,2,2
27,Everton,Crystal Palace,2,3
27,Chelsea,West Brom,2,4
27,Newcastle,Man Utd,3,2
28,West Brom,Huddersfield,2,2
28,Watford,Everton,2,3
28,Man Utd,Chelsea,4,4
28,Liverpool,West Ham,2,4
