,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
67,2023-04-15,17:30 ,31,Sat,Home,W,3,1,Leicester City,1.6,2.3,70,"53,329",Kevin De Bruyne,3-2-4-1,3-4-3,Darren England
68,2023-04-26,20:00 ,33,Wed,Home,W,4,1,Arsenal,2.5,0.5,52,"53,482",İlkay Gündoğan,4-3-3,4-3-3,Michael Oliver
69,2023-04-30,14:00 ,34,Sun,Away,W,2,1,Fulham,2.5,0.2,62,"24,498",İlkay Gündoğan,3-2-4-1,4-2-3-1,Simon Hooper
70,2023-05-03,20:00 ,28,Wed,Home,W,3,0,West Ham,2.3,0.4,69,"53,305",Kyle Walker,3-2-4-1,4-2-3-1,John Brooks
71,2023-05-06,15:00 ,35,Sat,Home,W,2,1,Leeds United,2.6,0.2,80,"53,406",İlkay Gündoğan,3-2-4-1,4-2-3-1,Andy Madley
72,2023-05-14,14:00 ,36,Sun,Away,W,3,0,Everton,0.8,1.6,63,"39,376",İlkay Gündoğan,4-2-3-1,4-2-3-1,Anthony Taylor
73,2023-05-21,16:00 ,37,Sun,Home,W,1,0,Chelsea,1.2,1.2,64,"53,490",Kyle Walker,3-4-3◆,3-4-1-2,Michael Oliver
74,2023-05-24,20:00 ,32,Wed,Away,D,1,1,Brighton,1.8,2.2,60,"31,388",İlkay Gündoğan,4-3-3,4-2-3-1,Simon Hooper
75,2023-05-28,16:30 ,38,Sun,Away,L,0,1,Brentford,1.6,1.3,65,"17,120",Kyle Walker,3-2-4-1,5-3-2,John Brooks
76,2021-08-15,16:30 ,1,Sun,Away,L,0,1,Tottenham,1.8,1.0,65,"58,262",Fernandinho,4-3-3,4-3-3,Anthony Taylor
77,2021-08-21,15:00 ,2,Sat,Home,W,5,0,Norwich City,2.6,0.1,67,"51,437",İlkay Gündoğan,4-3-3,4-3-3,Graham Scott
78,2021-08-28,12:30 ,3,Sat,Home,W,5,0,Arsenal,4.4,0.2,80,"52,276",İlkay Gündoğan,4-3-3,5-4-1,Martin Atkinson
79,2021-09-11,15:00 ,4,Sat,Away,W,1,0,Leicester City,2.8,0.6,61,"32,087",İlkay Gündoğan,4-3-3,4-2-3-1,Paul Tierney
80,2021-09-18,15:00 ,5,Sat,Home,D,0,0,Southampton,1.0,0.4,64,"52,698",Fernandinho,4-3-3,4-4-2,Jonathan Moss
81,2021-09-25,12:30 ,6,Sat,Away,W,1,0,Chelsea,1.7,0.2,59,"40,036",Rúben Dias,4-3-3,3-5-2,Michael Oliver
82,2021-10-03,16:30 ,7,Sun,Away,D,2,2,Liverpool,1.2,0.9,51,"53,102",Rúben Dias,4-3-3,4-3-3,Paul Tierney
83,2021-10-16,15:00 ,8,Sat,Home,W,2,0,Burnley,2.1,0.9,70,"52,711",Kevin De Bruyne,4-3-3,4-4-2,Martin Atkinson
84,2021-10-23,17:30 ,9,Sat,Away,W,4,1,Brighton,3.8,1.3,52,"31,215",İlkay Gündoğan,4-3-3,3-5-2,Kevin Friend
85,2021-10-30,15:00 ,10,Sat,Home,L,0,2,Crystal Palace,0.7,0.7,68,"53,014",Rúben Dias,4-3-3,4-3-3,Andre Marriner
86,2021-11-06,12:30 ,11,Sat,Away,W,2,0,Manchester Utd,1.6,0.9,67,"73,086",İlkay Gündoğan,4-3-3,3-5-2,Michael Oliver
87,2021-11-21,14:00 ,12,Sun,Home,W,3,0,Everton,2.5,0.2,77,"52,571",İlkay Gündoğan,4-3-3,4-4-1-1,Stuart Attwell
88,2021-11-28,14:00 ,13,Sun,Home,W,2,1,West Ham,2.1,0.2,68,"53,245",İlkay Gündoğan,4-3-3,4-2-3-1,Michael Oliver
89,2021-12-01,20:15 ,14,Wed,Away,W,2,1,Aston Villa,1.0,0.8,64,"41,400",Fernandinho,4-2-3-1,4-3-3,Mike Dean
90,2021-12-04,17:30 ,15,Sat,Away,W,3,1,Watford,3.1,0.8,77,"20,673",İlkay Gündoğan,4-3-3,4-1-4-1,Simon Hooper
91,2021-12-11,12:30 ,16,Sat,Home,W,1,0,Wolves,3.2,0.2,71,"52,613",İlkay Gündoğan,4-3-3,3-5-2,Jonathan Moss
92,2021-12-14,20:00 ,17,Tue,Home,W,7,0,Leeds United,3.1,0.3,63,"52,401",Rúben Dias,4-2-3-1,4-2-3-1,Paul Tierney
93,2021-12-19,14:15 ,18,Sun,Away,W,4,0,Newcastle Utd,2.9,0.3,71,"52,127",Rúben Dias,4-2-3-1,4-5-1,Martin Atkinson
94,2021-12-26,15:00 ,19,Sun,Home,W,6,3,Leicester City,3.6,2.7,72,"53,226",Fernandinho,4-3-3,4-4-1-1,Chris Kavanagh
95,2021-12-29,20:15 ,20,Wed,Away,W,1,0,Brentford,1.1,0.4,76,"17,009",Fernandinho,4-3-3,3-5-2,David Coote
96,2022-01-01,12:30 ,21,Sat,Away,W,2,1,Arsenal,2.0,0.8,71,"59,757",Rúben Dias,4-2-3-1,4-2-3-1,Stuart Attwell
97,2022-01-15,12:30 ,22,Sat,Home,W,1,0,Chelsea,1.0,0.3,56,"53,319",Kevin De Bruyne,4-2-3-1,3-4-3,Craig Pawson
98,2022-01-22,17:30 ,23,Sat,Away,D,1,1,Southampton,1.8,0.8,74,"31,178",Rúben Dias,4-3-3,4-4-2,Simon Hooper
99,2022-02-09,19:45 ,24,Wed,Home,W,2,0,Brentford,1.9,0.4,74,"51,658",Rúben Dias,4-3-3,3-5-2,Darren England
100,2022-02-12,17:30 ,25,Sat,Away,W,4,0,Norwich City,4.6,0.4,71,"27,010",Fernandinho,4-3-3,4-3-3,Andre Marriner
101,2022-02-19,17:30 ,26,Sat,Home,L,2,3,Tottenham,2.1,1.4,71,"53,201",İlkay Gündoğan,4-3-3,3-4-3,Anthony Taylor
102,2022-02-26,17:30 ,27,Sat,Away,W,1,0,Everton,1.8,0.5,67,"39,105",İlkay Gündoğan,4-3-3,4-3-3,Paul Tierney
103,2022-03-06,16:30 ,28,Sun,Home,W,4,1,Manchester Utd,2.7,0.5,69,"53,165",Kevin De Bruyne,4-3-3,4-2-3-1,Michael Oliver
104,2022-03-14,20:00 ,29,Mon,Away,D,0,0,Crystal Palace,2.8,0.6,73,"25,309",Kevin De Bruyne,4-3-3,4-3-3,Martin Atkinson
105,2022-04-02,15:00 ,31,Sat,Away,W,2,0,Burnley,1.8,0.1,76,"21,249",İlkay Gündoğan,4-3-3,4-5-1,Craig Pawson
106,2022-04-10,16:30 ,32,Sun,Home,D,2,2,Liverpool,1.3,1.3,55,"53,197",Kevin De Bruyne,4-2-3-1,4-3-3,Anthony Taylor
107,2022-04-20,20:00 ,30,Wed,Home,W,3,0,Brighton,1.3,0.2,65,"52,226",İlkay Gündoğan,4-3-3,3-5-2,Mike Dean
108,2022-04-23,15:00 ,34,Sat,Home,W,5,1,Watford,3.6,0.5,73,"53,013",Fernandinho,4-2-3-1,4-3-3,Kevin Friend
109,2022-04-30,17:30 ,35,Sat,Away,W,4,0,Leeds United,2.4,1.3,58,"35,771",İlkay Gündoğan,4-2-3-1,5-4-1,Paul Tierney
110,2022-05-08,16:30 ,36,Sun,Home,W,5,0,Newcastle Utd,3.1,0.8,71,"53,336",İlkay Gündoğan,4-2-3-1,4-3-3,Stuart Attwell
111,2022-05-11,20:15 ,33,Wed,Away,W,5,1,Wolves,2.3,0.5,66,"32,000",Fernandinho,4-2-3-1,3-5-2,Martin Atkinson
112,2022-05-15,14:00 ,37,Sun,Away,D,2,2,West Ham,2.4,1.1,78,"59,972",Fernandinho,4-3-3,4-2-3-1,Anthony Taylor
113,2022-05-22,16:00 ,38,Sun,Home,W,3,2,Aston Villa,3.4,0.2,71,"53,395",Fernandinho,4-3-3,4-3-2-1,Michael Oliver
114,2020-09-21,20:15 ,2,Mon,Away,W,3,1,Wolves,1.9,0.6,65,,Fernandinho,4-2-3-1,5-3-2,Andre Marriner
115,2020-09-27,16:30 ,3,Sun,Home,L,2,5,Leicester City,0.9,2.9,72,,Fernandinho,4-2-3-1,5-4-1,Michael Oliver
116,2020-10-03,17:30 ,4,Sat,Away,D,1,1,Leeds United,1.2,2.4,49,,Kevin De Bruyne,4-3-3,4-1-4-1,Mike Dean
117,2020-10-17,17:30 ,5,Sat,Home,W,1,0,Arsenal,1.3,0.9,58,,Raheem Sterling,3-1-4-2,4-3-3,Chris Kavanagh
118,2020-10-24,12:30 ,6,Sat,Away,D,1,1,West Ham,1.0,0.3,69,,Raheem Sterling,4-3-3,5-4-1,Anthony Taylor
