Unnamed: 0,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
20,2019-01-01,Tue,21,Home,L 0–3,Cardiff City,Tottenham,Y,RB,90,0,0,0,0,0,0,0,0,42,1,2,3,0.0,0.0,0.0,1,0,32,37,4,17,1,0,0,495,254,19,19,7,9,4,6,0.0,0,3,0,0,32,5,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,2,0,0,4,12,27,3,0,99.0,53.0,1,0,0,0,17,0,0,15,0,1.4,1.4,12.6,2019-01-01 17:30:00+00:00,90,0,21,0,9782,0.0,1,1296,2053,757,44,2019-01-01
21,2019-01-12,Sat,22,Home,D 0–0,Cardiff City,Huddersfield,Y,RB,90,0,0,0,0,0,0,0,0,47,1,1,6,0.0,0.0,0.0,0,0,26,35,4,26,0,1,1,528,260,10,11,12,18,4,4,0.0,0,3,0,0,31,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,4,0,8,20,25,3,1,130.0,55.0,0,0,1,1,21,1,1,25,1,0.8,2.3,20.0,2019-01-12 15:00:00+00:00,90,0,22,0,13357,2.0,7,3148,4755,1607,44,2019-01-12
22,2019-01-19,Sat,23,Away,L 0–3,Cardiff City,Newcastle Utd,Y,CB,90,0,0,0,0,2,1,0,0,31,2,2,3,0.1,0.1,0.0,1,0,13,16,2,11,0,0,0,327,166,3,4,5,7,5,5,0.0,0,2,0,0,15,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,5,0,7,14,13,4,3,57.0,15.0,0,0,0,1,9,0,0,9,0,0.5,6.0,22.6,2019-01-19 15:00:00+00:00,90,0,23,0,18651,37.0,1,4887,7174,2287,44,2019-01-19
23,2019-01-29,Tue,24,Away,L 1–2,Cardiff City,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,29,3,1,4,0.0,0.0,0.0,0,0,10,14,2,8,0,1,1,157,36,5,6,5,6,0,2,0.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,3,1,5,0,11,19,10,1,0,56.0,40.0,1,0,0,1,6,0,0,7,0,0.5,2.7,26.0,2019-01-29 19:45:00+00:00,90,0,24,0,18277,0.0,1,-228,1519,1747,44,2019-01-29
24,2019-02-02,Sat,25,Home,W 2–0,Cardiff City,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,29,2,3,1,0.0,0.0,0.0,1,0,10,15,1,4,1,2,1,167,89,4,4,6,7,0,4,0.0,0,0,0,0,13,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,1,8,0,6,21,9,0,0,49.0,36.0,0,0,1,0,4,0,1,24,1,0.1,2.1,21.2,2019-02-02 17:30:00+00:00,90,0,25,0,18283,0.0,7,47,805,758,44,2019-02-02
25,2019-02-09,Sat,26,Away,W 2–1,Cardiff City,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,25,1,3,1,0.0,0.0,0.0,0,0,13,19,0,5,0,0,0,301,138,4,5,4,5,5,9,0.0,0,0,0,0,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,6,17,9,0,0,27.0,0.0,0,0,0,0,4,0,0,12,0,0.1,1.2,12.2,2019-02-09 15:00:00+00:00,90,0,26,0,20847,0.0,2,2169,2946,777,44,2019-02-09
26,2019-02-22,Fri,27,Home,L 1–5,Cardiff City,Watford,Y,"CB,RB",90,0,0,0,0,1,0,0,0,36,1,5,0,0.6,0.6,0.0,1,1,19,24,2,13,0,1,0,346,143,10,11,5,5,4,7,0.0,0,1,0,0,23,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,0,3,1,2,17,20,1,1,84.0,27.0,0,0,1,0,9,0,0,12,0,0.3,4.5,10.2,2019-02-22 19:45:00+00:00,90,0,27,0,25347,34.0,0,3435,4441,1006,44,2019-02-22
27,2019-02-26,Tue,28,Home,L 0–3,Cardiff City,Everton,Y,RB,90,0,0,0,0,0,0,0,0,46,1,2,4,0.0,0.0,0.0,0,0,15,32,1,16,0,0,0,303,204,6,9,7,13,1,5,0.0,0,3,0,0,27,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,4,6,0,8,20,25,1,0,59.0,26.0,0,0,0,1,15,0,0,15,0,0.4,1.6,16.0,2019-02-26 19:45:00+00:00,90,0,28,0,24685,0.0,1,243,1448,1205,44,2019-02-26
28,2019-03-02,Sat,29,Away,L 0–2,Cardiff City,Wolves,N,CB,46,0,0,0,0,0,0,0,0,24,0,2,0,0.0,0.0,0.0,0,0,16,20,3,16,1,1,0,317,88,3,3,11,12,1,3,0.0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,6,19,1,0,89.0,65.0,1,0,0,0,9,0,0,8,0,0.8,0.8,7.4,2019-03-02 15:00:00+00:00,45,0,29,0,23196,0.0,1,-1443,392,1835,44,2019-03-02
29,2019-03-09,Sat,30,Home,W 2–0,Cardiff City,West Ham,Y,CB,90,0,0,0,0,1,0,0,0,27,0,0,0,0.1,0.1,0.0,0,0,14,21,1,9,1,1,1,288,148,3,4,8,11,2,4,0.0,0,2,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,13,2,2,49.0,19.0,0,0,0,0,7,0,0,21,1,0.2,2.7,6.8,2019-03-09 15:00:00+00:00,90,0,30,0,22149,20.0,6,-1093,551,1644,44,2019-03-09
30,2019-03-31,Sun,32,Home,L 1–2,Cardiff City,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,33,2,2,4,0.0,0.0,0.0,1,0,12,21,1,14,0,0,0,247,118,5,5,6,9,1,7,0.0,0,1,0,0,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,3,1,3,1,5,0,9,23,10,0,0,59.0,8.0,0,0,1,0,7,0,0,13,0,0.1,3.2,31.6,2019-03-31 13:05:00+00:00,90,0,32,0,23842,0.0,1,1000,2500,1500,44,2019-03-31
31,2019-04-03,Wed,33,Away,L 0–2,Cardiff City,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,20,3,0,1,0.0,0.0,0.0,0,0,7,9,3,4,0,0,0,219,90,1,1,3,4,3,4,0.0,0,1,0,0,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,3,2,1,0,7,1,8,11,9,0,0,35.0,1.0,0,0,0,1,6,0,0,7,0,0.2,1.9,19.0,2019-04-03 18:45:00+00:00,90,0,32,0,23842,0.0,1,1000,2500,1500,44,2019-04-03
32,2019-04-13,Sat,34,Away,L 0–2,Cardiff City,Burnley,Y,CB,90,0,0,0,0,1,0,0,0,56,1,5,0,0.0,0.0,0.0,1,0,28,46,4,25,0,0,0,738,379,4,5,16,24,8,16,0.0,0,6,0,0,43,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,4,0,7,24,31,1,0,115.0,28.0,0,0,0,1,24,0,0,14,0,0.3,2.7,18.6,2019-04-13 14:00:00+00:00,90,0,34,0,30891,8.0,1,7459,9357,1898,44,2019-04-13
33,2019-04-16,Tue,31,Away,W 2–0,Cardiff City,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,42,5,5,1,0.0,0.0,0.0,0,0,12,24,1,7,1,0,0,220,101,5,10,6,9,1,5,0.0,0,0,0,0,22,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,2,2,0,0,1,10,0,9,27,15,1,1,58.0,33.0,0,0,0,0,5,0,1,30,1,0.3,3.4,31.4,2019-04-16 18:45:00+00:00,90,0,34,0,30891,2.0,7,7459,9357,1898,44,2019-04-16
34,2019-04-21,Sun,35,Home,L 0–2,Cardiff City,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,30,3,2,2,0.0,0.0,0.0,0,0,12,20,0,9,0,0,0,251,113,3,5,6,9,2,2,0.0,0,0,0,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,3,1,2,0,4,0,7,21,10,0,0,22.0,11.0,0,0,0,0,1,0,0,12,0,0.1,2.7,26.4,2019-04-21 15:00:00+00:00,90,0,35,0,27131,0.0,1,-3107,1571,4678,44,2019-04-21
35,2019-04-27,Sat,36,Away,L 0–1,Cardiff City,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,32,1,0,0,0.0,0.0,0.0,1,0,13,19,4,8,0,1,1,344,120,2,4,6,6,5,7,0.0,0,2,0,0,17,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,6,21,9,2,1,38.0,11.0,0,0,1,0,7,0,0,13,0,0.3,2.5,22.8,2019-04-27 14:00:00+00:00,90,0,36,0,28302,2.0,2,865,1732,867,44,2019-04-27
36,2019-05-04,Sat,37,Home,L 2–3,Cardiff City,Crystal Palace,Y,CB,90,0,0,0,0,2,2,0,0,37,1,0,3,0.1,0.1,0.0,1,0,19,24,3,12,0,0,0,356,155,10,11,6,6,3,7,0.0,0,1,0,0,22,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,5,0,10,20,15,3,3,61.0,18.0,0,0,1,0,8,0,0,12,0,0.2,6.7,30.4,2019-05-04 16:30:00+00:00,90,0,37,0,27998,36.0,1,-237,817,1054,44,2019-05-04
37,2019-05-12,Sun,38,Away,W 2–0,Cardiff City,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,32,1,5,1,0.0,0.0,0.0,1,0,12,18,0,11,0,1,1,214,91,3,4,6,8,2,5,0.0,0,0,0,0,17,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,13,22,11,0,0,64.0,20.0,0,0,1,0,7,0,1,26,1,0.1,2.3,22.4,2019-05-12 14:00:00+00:00,90,0,38,0,26741,0.0,7,-1123,392,1515,44,2019-05-12
